"peiid","taxonname_clean","taxonname_key","taxclname","taxorder","taxsuborder","taxgrtgroup","taxsubgrp","taxpartsize","POINT_X","POINT_Y","phiidref","labsampnum","layerseqnum","hzdept","hzdepb","hzname","texcl","ncsslayerlabdataiid","sandtotmeasured","silttotmeasured","claytotmeasured","cec7","colorhue","colorvalue","colorchroma"
890502,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3019611,32.5953306000001,4410612,"11N00507",36,98,129,"Btv2","Sandy clay loam",432766,64.6999969,5,30.2999992,NA,"10YR",6,4
890502,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3019611,32.5953306000001,4410613,"11N00508",37,129,150,"BC","Sandy clay loam",432767,70.6999969,4.5,24.7999992,NA,"10YR",6,4
890502,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3019611,32.5953306000001,4410614,"11N00509",38,150,183,"C","Sandy loam",432768,75.5,4.5999999,19.8999996,NA,"2.5YR",6,4
890502,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3019611,32.5953306000001,4410608,"11N00502",31,0,2,"A","Sand",432761,88.9000015,9.3000002,1.8,NA,"10YR",5,2
890503,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3019528,32.5957444000001,4410616,"11N00511",40,2,17,"A","Sand",432770,87.5999985,7.5,4.9000001,NA,"10YR",6,2
890503,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3019528,32.5957444000001,4410617,"11N00512",41,17,30,"E","Loamy sand",432771,84.8000031,8.3999996,6.8000002,NA,"10YR",6,3
890503,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3019528,32.5957444000001,4410618,"11N00513",42,30,50,"Bt","Sandy loam",432772,74.4000015,8.8000002,16.7999992,NA,"10YR",6,6
890503,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3019528,32.5957444000001,4410616,"11N00510",39,0,2,"A","Sand",432769,89.1999969,5.8000002,5,NA,"10YR",6,2
890504,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3017889,32.5954444000001,4410620,"11N00515",44,2,23,"A","Sand",432774,88.4000015,7.5,4.0999999,NA,"10YR",6,2
890504,"Dothan","DOTHAN","Fine-loamy, kaolinitic, thermic Plinthic Kandiudults","Ultisols","Udults","Kandiudults","Plinthic Kandiudults","fine-loamy",-82.3017889,32.5954444000001,4410621,"11N00516",45,23,45,"E","Loamy sand",432775,86.6999969,8.3999996,4.9000001,NA,"10YR",7,3
